epoca;best;avg
1;2.642;-0.165
2;13.868;3.213
3;22.083;6.570
4;22.083;7.505
5;22.083;8.298
6;22.083;9.640
7;22.083;9.890
8;22.083;8.567
9;22.083;8.826
10;22.083;9.246
11;22.083;9.965
12;22.083;12.172
13;22.083;9.516
14;22.083;13.156
15;22.083;10.267
16;22.083;11.436
17;22.083;10.277
18;22.083;10.306
19;22.083;12.024
20;22.083;12.826
21;22.083;11.336
22;22.083;12.348
23;22.083;10.606
24;22.083;11.504
25;22.083;10.449
26;22.083;9.872
27;22.083;11.156
28;22.083;11.828
29;22.083;9.610
30;22.083;9.662
31;22.083;9.233
32;22.083;10.226
33;22.083;12.019
34;22.157;11.796
35;22.157;13.114
36;22.157;11.407
37;22.157;7.565
38;22.157;10.331
39;22.157;11.381
40;22.157;9.435
41;22.157;8.969
42;22.157;11.797
43;22.157;10.233
44;22.157;11.495
45;22.157;11.655
46;22.157;9.581
47;22.157;9.629
48;22.157;8.406
49;22.157;9.746
50;22.157;9.014
51;22.157;6.925
52;22.157;8.834
53;22.157;9.965
54;22.157;9.502
55;22.157;8.195
56;22.157;8.692
57;22.157;10.193
58;22.157;7.135
59;22.157;6.166
60;22.157;6.521
61;22.157;4.789
62;22.157;5.125
63;22.157;7.060
64;22.157;7.687
65;22.157;7.775
66;22.157;7.978
67;22.157;7.451
68;22.157;7.197
69;22.157;7.514
70;22.157;7.833
71;22.157;7.939
72;22.157;8.932
73;22.157;10.051
74;22.157;9.421
75;22.157;7.422
76;22.157;7.824
77;22.157;8.477
78;22.157;9.490
79;22.157;10.055
80;22.157;11.420
81;22.157;9.422
82;22.157;10.616
83;22.157;9.529
84;22.157;8.601
85;22.157;8.683
86;22.157;7.014
87;22.157;6.866
88;22.157;7.666
89;22.157;8.050
90;22.157;8.528
91;22.157;8.288
92;22.157;9.618
93;22.157;12.252
94;22.157;14.108
95;22.157;13.355
96;22.157;14.383
97;22.157;12.957
98;22.157;13.057
99;22.157;11.633
100;22.157;11.765
101;22.157;10.271
102;22.157;10.996
103;22.157;9.212
104;22.157;7.948
105;22.157;8.819
106;22.157;10.906
107;22.157;9.216
108;22.157;11.142
109;22.157;10.359
110;22.157;9.348
111;22.157;10.023
112;22.157;8.634
113;22.157;13.179
114;22.157;12.707
115;22.157;10.710
116;22.157;9.737
117;22.157;10.690
118;22.157;12.148
119;22.157;11.648
120;22.157;10.419
121;22.157;12.544
122;22.157;11.423
123;22.157;11.611
124;22.157;11.033
125;22.157;11.387
126;23.220;11.809
127;23.220;12.719
128;23.220;10.958
129;23.220;12.412
130;24.297;14.719
131;24.297;9.913
132;24.297;9.970
133;24.304;9.277
134;24.304;8.636
135;24.304;8.956
136;24.304;10.041
137;24.304;9.356
138;24.304;10.772
139;24.304;12.004
140;24.304;12.202
141;24.304;13.347
142;24.304;11.949
143;24.304;12.954
144;24.304;11.559
145;24.304;14.063
146;24.304;12.198
147;24.304;9.191
148;24.304;10.972
149;24.304;11.691
150;24.304;12.156
151;24.304;11.977
152;24.304;11.497
153;24.304;11.680
154;24.304;11.936
155;24.304;10.864
156;24.304;11.217
157;24.304;12.354
158;24.304;12.020
159;24.304;9.279
160;24.304;8.879
161;24.304;7.823
162;24.304;8.568
163;24.304;9.927
164;24.304;12.031
165;24.304;13.282
166;24.304;11.896
167;24.304;12.702
168;24.304;12.877
169;24.304;11.527
170;24.304;12.689
171;24.304;12.318
172;24.304;9.776
173;24.304;9.954
174;24.304;10.372
175;24.304;12.330
176;24.304;13.047
177;24.304;12.117
178;24.304;9.522
179;24.304;12.400
180;24.304;10.325
181;24.304;10.641
182;24.304;11.044
183;24.304;9.560
184;24.304;9.423
185;24.304;10.664
186;24.304;9.924
187;24.304;10.932
188;24.304;12.516
189;24.304;12.028
190;24.304;12.908
191;24.304;12.886
192;24.304;11.738
193;24.304;11.010
194;24.304;11.709
195;24.304;11.258
196;24.304;11.414
197;24.304;12.900
198;24.304;11.373
199;24.304;11.897
200;24.304;11.667
201;24.304;10.242
202;24.304;11.070
203;24.304;9.230
204;24.304;9.605
205;24.304;10.925
206;24.304;10.705
207;24.304;9.075
208;24.304;8.609
209;24.304;10.162
210;24.304;10.471
211;24.304;12.156
212;24.304;9.661
213;24.304;9.304
214;24.304;10.045
215;24.304;11.222
216;24.304;10.411
217;24.304;11.981
218;24.304;13.321
219;24.304;12.624
220;24.304;13.933
221;24.304;13.913
222;24.304;14.949
223;24.304;13.754
224;24.304;12.198
225;24.304;12.648
226;24.304;12.702
227;24.304;10.694
228;24.304;10.835
229;24.304;8.798
230;24.304;9.502
231;24.304;8.915
232;24.304;8.808
233;24.304;9.479
234;24.304;10.838
235;24.304;12.135
236;24.304;11.001
237;24.304;12.009
238;24.304;8.828
239;24.304;10.039
240;24.304;8.792
241;24.304;7.899
242;24.304;8.602
243;24.304;11.098
244;24.304;10.937
245;24.304;8.908
246;24.304;9.360
247;24.304;11.371
248;24.304;10.381
249;24.304;15.382
250;24.304;13.935
251;24.304;12.993
252;24.304;15.745
253;24.304;16.740
254;24.304;10.918
255;24.304;13.375
