Geração 00/300	Score atual: 113	Score Médio: 75
Melhor individuo atualizado...
Geração 01/300	Score atual: 178	Score Médio: 79
Geração 02/300	Score atual: 178	Score Médio: 85
Geração 03/300	Score atual: 178	Score Médio: 85
Geração 04/300	Score atual: 214	Score Médio: 90
Geração 05/300	Score atual: 214	Score Médio: 91
Geração 06/300	Score atual: 219	Score Médio: 86
Geração 07/300	Score atual: 278	Score Médio: 94
Geração 08/300	Score atual: 278	Score Médio: 93
Geração 09/300	Score atual: 322	Score Médio: 96
Geração 10/300	Score atual: 349	Score Médio: 94
Geração 11/300	Score atual: 349	Score Médio: 96
Geração 12/300	Score atual: 349	Score Médio: 100
Geração 13/300	Score atual: 349	Score Médio: 93
Geração 14/300	Score atual: 372	Score Médio: 93
Geração 15/300	Score atual: 372	Score Médio: 92
Geração 16/300	Score atual: 372	Score Médio: 92
Geração 17/300	Score atual: 372	Score Médio: 84
Geração 18/300	Score atual: 372	Score Médio: 81
Geração 19/300	Score atual: 432	Score Médio: 88
Geração 20/300	Score atual: 432	Score Médio: 94
Geração 21/300	Score atual: 432	Score Médio: 80
Geração 22/300	Score atual: 432	Score Médio: 100
Geração 23/300	Score atual: 432	Score Médio: 106
Geração 24/300	Score atual: 471	Score Médio: 107
Geração 25/300	Score atual: 471	Score Médio: 108
Geração 26/300	Score atual: 471	Score Médio: 119
Geração 27/300	Score atual: 471	Score Médio: 119
Geração 28/300	Score atual: 533	Score Médio: 129
Geração 29/300	Score atual: 555	Score Médio: 118
Geração 30/300	Score atual: 555	Score Médio: 119
Geração 31/300	Score atual: 605	Score Médio: 124
Geração 32/300	Score atual: 605	Score Médio: 131
Geração 33/300	Score atual: 610	Score Médio: 140
Geração 34/300	Score atual: 610	Score Médio: 148
Geração 35/300	Score atual: 610	Score Médio: 136
Geração 36/300	Score atual: 610	Score Médio: 139
Geração 37/300	Score atual: 618	Score Médio: 115
Geração 38/300	Score atual: 634	Score Médio: 136
Geração 39/300	Score atual: 669	Score Médio: 171
Geração 40/300	Score atual: 698	Score Médio: 154
Geração 41/300	Score atual: 698	Score Médio: 139
Geração 42/300	Score atual: 707	Score Médio: 168
Geração 43/300	Score atual: 737	Score Médio: 176
Geração 44/300	Score atual: 737	Score Médio: 160
Geração 45/300	Score atual: 792	Score Médio: 167
Geração 46/300	Score atual: 796	Score Médio: 180
Geração 47/300	Score atual: 839	Score Médio: 180
Geração 48/300	Score atual: 879	Score Médio: 186
Geração 49/300	Score atual: 879	Score Médio: 184
Geração 50/300	Score atual: 879	Score Médio: 209
Geração 51/300	Score atual: 910	Score Médio: 224
Geração 52/300	Score atual: 910	Score Médio: 223
Geração 53/300	Score atual: 910	Score Médio: 260
Geração 54/300	Score atual: 917	Score Médio: 236
Geração 55/300	Score atual: 917	Score Médio: 219
Geração 56/300	Score atual: 927	Score Médio: 219
Geração 57/300	Score atual: 946	Score Médio: 270
Geração 58/300	Score atual: 946	Score Médio: 315
Geração 59/300	Score atual: 946	Score Médio: 333
Geração 60/300	Score atual: 954	Score Médio: 347
Geração 61/300	Score atual: 983	Score Médio: 349
Geração 62/300	Score atual: 983	Score Médio: 385
Geração 63/300	Score atual: 997	Score Médio: 401
Geração 64/300	Score atual: 1058	Score Médio: 418
Geração 65/300	Score atual: 1058	Score Médio: 432
Geração 66/300	Score atual: 1058	Score Médio: 407
Geração 67/300	Score atual: 1058	Score Médio: 442
Geração 68/300	Score atual: 1073	Score Médio: 412
Geração 69/300	Score atual: 1073	Score Médio: 394
Geração 70/300	Score atual: 1114	Score Médio: 419
Geração 71/300	Score atual: 1114	Score Médio: 387
Geração 72/300	Score atual: 1140	Score Médio: 325
Geração 73/300	Score atual: 1140	Score Médio: 303
Geração 74/300	Score atual: 1140	Score Médio: 290
Geração 75/300	Score atual: 1140	Score Médio: 304
Geração 76/300	Score atual: 1140	Score Médio: 259
Geração 77/300	Score atual: 1140	Score Médio: 294
Geração 78/300	Score atual: 1140	Score Médio: 295
Geração 79/300	Score atual: 1140	Score Médio: 274
Geração 80/300	Score atual: 1140	Score Médio: 255
Geração 81/300	Score atual: 1140	Score Médio: 247
Geração 82/300	Score atual: 1140	Score Médio: 272
Geração 83/300	Score atual: 1176	Score Médio: 291
Geração 84/300	Score atual: 1176	Score Médio: 264
Geração 85/300	Score atual: 1193	Score Médio: 244
Geração 86/300	Score atual: 1193	Score Médio: 251
Geração 87/300	Score atual: 1193	Score Médio: 271
Geração 88/300	Score atual: 1249	Score Médio: 342
Geração 89/300	Score atual: 1249	Score Médio: 386
Geração 90/300	Score atual: 1250	Score Médio: 367
Geração 91/300	Score atual: 1250	Score Médio: 370
Geração 92/300	Score atual: 1257	Score Médio: 392
Geração 93/300	Score atual: 1258	Score Médio: 508
Geração 94/300	Score atual: 1268	Score Médio: 530
Geração 95/300	Score atual: 1288	Score Médio: 533
Geração 96/300	Score atual: 1288	Score Médio: 579
Geração 97/300	Score atual: 1288	Score Médio: 513
Geração 98/300	Score atual: 1288	Score Médio: 461
Geração 99/300	Score atual: 1312	Score Médio: 522
Geração 100/300	Score atual: 1313	Score Médio: 598
Geração 101/300	Score atual: 1361	Score Médio: 595
Geração 102/300	Score atual: 1361	Score Médio: 601
Geração 103/300	Score atual: 1366	Score Médio: 550
Geração 104/300	Score atual: 1366	Score Médio: 579
Geração 105/300	Score atual: 1394	Score Médio: 667
Geração 106/300	Score atual: 1394	Score Médio: 670
Geração 107/300	Score atual: 1394	Score Médio: 678
Geração 108/300	Score atual: 1436	Score Médio: 736
Geração 109/300	Score atual: 1436	Score Médio: 743
Geração 110/300	Score atual: 1436	Score Médio: 826
Geração 111/300	Score atual: 1436	Score Médio: 722
Geração 112/300	Score atual: 1436	Score Médio: 804
Geração 113/300	Score atual: 1452	Score Médio: 742
Geração 114/300	Score atual: 1452	Score Médio: 754
Geração 115/300	Score atual: 1452	Score Médio: 753
Geração 116/300	Score atual: 1492	Score Médio: 846
Geração 117/300	Score atual: 1597	Score Médio: 874
Geração 118/300	Score atual: 1601	Score Médio: 852
Geração 119/300	Score atual: 1601	Score Médio: 853
Geração 120/300	Score atual: 1601	Score Médio: 939
Geração 121/300	Score atual: 1601	Score Médio: 882
Geração 122/300	Score atual: 1601	Score Médio: 868
Geração 123/300	Score atual: 1601	Score Médio: 928
Geração 124/300	Score atual: 1632	Score Médio: 885
Geração 125/300	Score atual: 1642	Score Médio: 973
Geração 126/300	Score atual: 1642	Score Médio: 961
Geração 127/300	Score atual: 1662	Score Médio: 924
Geração 128/300	Score atual: 1662	Score Médio: 847
Geração 129/300	Score atual: 1666	Score Médio: 966
Geração 130/300	Score atual: 1739	Score Médio: 924
Geração 131/300	Score atual: 1739	Score Médio: 929
Geração 132/300	Score atual: 1739	Score Médio: 919
Geração 133/300	Score atual: 1740	Score Médio: 900
Geração 134/300	Score atual: 1740	Score Médio: 886
Geração 135/300	Score atual: 1758	Score Médio: 864
Geração 136/300	Score atual: 1801	Score Médio: 955
Geração 137/300	Score atual: 1824	Score Médio: 982
Geração 138/300	Score atual: 1847	Score Médio: 1023
Geração 139/300	Score atual: 1847	Score Médio: 988
Geração 140/300	Score atual: 1967	Score Médio: 1058
Geração 141/300	Score atual: 1967	Score Médio: 1001
Geração 142/300	Score atual: 1967	Score Médio: 871
Geração 143/300	Score atual: 1967	Score Médio: 873
Geração 144/300	Score atual: 1967	Score Médio: 875
Geração 145/300	Score atual: 1967	Score Médio: 915
Geração 146/300	Score atual: 1967	Score Médio: 934
Geração 147/300	Score atual: 2003	Score Médio: 914
Geração 148/300	Score atual: 2039	Score Médio: 822
Geração 149/300	Score atual: 2039	Score Médio: 828
Geração 150/300	Score atual: 2082	Score Médio: 925
Geração 151/300	Score atual: 2111	Score Médio: 871
Geração 152/300	Score atual: 2111	Score Médio: 859
Geração 153/300	Score atual: 2111	Score Médio: 908
Geração 154/300	Score atual: 2111	Score Médio: 899
Geração 155/300	Score atual: 2111	Score Médio: 903
Geração 156/300	Score atual: 2140	Score Médio: 926
Geração 157/300	Score atual: 2162	Score Médio: 919
Geração 158/300	Score atual: 2162	Score Médio: 1009
Geração 159/300	Score atual: 2205	Score Médio: 1020
Geração 160/300	Score atual: 2213	Score Médio: 848
Geração 161/300	Score atual: 2253	Score Médio: 1023
Geração 162/300	Score atual: 2253	Score Médio: 1150
Geração 163/300	Score atual: 2253	Score Médio: 1175
Geração 164/300	Score atual: 2257	Score Médio: 1225
Geração 165/300	Score atual: 2384	Score Médio: 1091
Geração 166/300	Score atual: 2384	Score Médio: 1093
Geração 167/300	Score atual: 2417	Score Médio: 1052
Geração 168/300	Score atual: 2421	Score Médio: 1022
Geração 169/300	Score atual: 2466	Score Médio: 1040
Geração 170/300	Score atual: 2466	Score Médio: 1142
Geração 171/300	Score atual: 2473	Score Médio: 1261
Geração 172/300	Score atual: 2473	Score Médio: 1306
Geração 173/300	Score atual: 2473	Score Médio: 1268
Geração 174/300	Score atual: 2473	Score Médio: 1310
Geração 175/300	Score atual: 2481	Score Médio: 1357
Geração 176/300	Score atual: 2503	Score Médio: 1412
Geração 177/300	Score atual: 2503	Score Médio: 1443
Geração 178/300	Score atual: 2503	Score Médio: 1449
Geração 179/300	Score atual: 2525	Score Médio: 1545
Geração 180/300	Score atual: 2561	Score Médio: 1733
Geração 181/300	Score atual: 2576	Score Médio: 1705
Geração 182/300	Score atual: 2576	Score Médio: 1644
Geração 183/300	Score atual: 2619	Score Médio: 1688
Geração 184/300	Score atual: 2648	Score Médio: 1899
Geração 185/300	Score atual: 2678	Score Médio: 1853
Geração 186/300	Score atual: 2747	Score Médio: 1859
Geração 187/300	Score atual: 2813	Score Médio: 1819
Geração 188/300	Score atual: 2813	Score Médio: 1806
Geração 189/300	Score atual: 2813	Score Médio: 1773
Geração 190/300	Score atual: 2813	Score Médio: 1724
Geração 191/300	Score atual: 2820	Score Médio: 1742
Geração 192/300	Score atual: 2854	Score Médio: 1791
Geração 193/300	Score atual: 2854	Score Médio: 1825
Geração 194/300	Score atual: 2870	Score Médio: 1826
Geração 195/300	Score atual: 2883	Score Médio: 1924
Geração 196/300	Score atual: 2883	Score Médio: 1908
Geração 197/300	Score atual: 2883	Score Médio: 1885
Geração 198/300	Score atual: 2883	Score Médio: 1939
Geração 199/300	Score atual: 2883	Score Médio: 2021
Geração 200/300	Score atual: 2883	Score Médio: 2091
Geração 201/300	Score atual: 2896	Score Médio: 2067
Geração 202/300	Score atual: 2921	Score Médio: 2088
Geração 203/300	Score atual: 2966	Score Médio: 2180
Geração 204/300	Score atual: 2966	Score Médio: 2199
Geração 205/300	Score atual: 2966	Score Médio: 2222
Geração 206/300	Score atual: 2966	Score Médio: 2147
Geração 207/300	Score atual: 3002	Score Médio: 2162
Geração 208/300	Score atual: 3002	Score Médio: 2189
Geração 209/300	Score atual: 3002	Score Médio: 2278
Geração 210/300	Score atual: 3048	Score Médio: 2268
Geração 211/300	Score atual: 3048	Score Médio: 2366
Geração 212/300	Score atual: 3048	Score Médio: 2357
Geração 213/300	Score atual: 3048	Score Médio: 2351
Geração 214/300	Score atual: 3055	Score Médio: 2430
Geração 215/300	Score atual: 3106	Score Médio: 2406
Geração 216/300	Score atual: 3123	Score Médio: 2399
Geração 217/300	Score atual: 3123	Score Médio: 2439
Geração 218/300	Score atual: 3127	Score Médio: 2408
Geração 219/300	Score atual: 3132	Score Médio: 2399
Geração 220/300	Score atual: 3132	Score Médio: 2426
Geração 221/300	Score atual: 3141	Score Médio: 2455
Geração 222/300	Score atual: 3207	Score Médio: 2420
Geração 223/300	Score atual: 3207	Score Médio: 2412
Geração 224/300	Score atual: 3207	Score Médio: 2462
Geração 225/300	Score atual: 3207	Score Médio: 2433
Geração 226/300	Score atual: 3207	Score Médio: 2420
Geração 227/300	Score atual: 3217	Score Médio: 2419
Geração 228/300	Score atual: 3247	Score Médio: 2425
Geração 229/300	Score atual: 3247	Score Médio: 2355
Geração 230/300	Score atual: 3247	Score Médio: 2353
Geração 231/300	Score atual: 3247	Score Médio: 2260
Geração 232/300	Score atual: 3247	Score Médio: 2268
Geração 233/300	Score atual: 3312	Score Médio: 2269
Geração 234/300	Score atual: 3349	Score Médio: 2243
Geração 235/300	Score atual: 3349	Score Médio: 2359
Geração 236/300	Score atual: 3349	Score Médio: 2392
Geração 237/300	Score atual: 3349	Score Médio: 2366
Geração 238/300	Score atual: 3349	Score Médio: 2388
Geração 239/300	Score atual: 3349	Score Médio: 2473
Geração 240/300	Score atual: 3391	Score Médio: 2479
Geração 241/300	Score atual: 3409	Score Médio: 2415
Geração 242/300	Score atual: 3409	Score Médio: 2347
Geração 243/300	Score atual: 3424	Score Médio: 2379
Geração 244/300	Score atual: 3424	Score Médio: 2328
Geração 245/300	Score atual: 3424	Score Médio: 2273
Geração 246/300	Score atual: 3424	Score Médio: 2238
Geração 247/300	Score atual: 3424	Score Médio: 2286
Geração 248/300	Score atual: 3424	Score Médio: 2233
Geração 249/300	Score atual: 3424	Score Médio: 2288
Geração 250/300	Score atual: 3446	Score Médio: 2460
Geração 251/300	Score atual: 3446	Score Médio: 2491
Geração 252/300	Score atual: 3449	Score Médio: 2531
Geração 253/300	Score atual: 3468	Score Médio: 2561
Geração 254/300	Score atual: 3497	Score Médio: 2678
Geração 255/300	Score atual: 3529	Score Médio: 2670
Geração 256/300	Score atual: 3529	Score Médio: 2611
Geração 257/300	Score atual: 3529	Score Médio: 2758
Geração 258/300	Score atual: 3529	Score Médio: 2789
Geração 259/300	Score atual: 3551	Score Médio: 2810
Geração 260/300	Score atual: 3551	Score Médio: 2858
Geração 261/300	Score atual: 3551	Score Médio: 2826
Geração 262/300	Score atual: 3551	Score Médio: 2890
Geração 263/300	Score atual: 3557	Score Médio: 2880
Geração 264/300	Score atual: 3573	Score Médio: 2927
Geração 265/300	Score atual: 3617	Score Médio: 2880
Geração 266/300	Score atual: 3617	Score Médio: 2869
Geração 267/300	Score atual: 3646	Score Médio: 2948
Geração 268/300	Score atual: 3713	Score Médio: 2954
Geração 269/300	Score atual: 3713	Score Médio: 3023
Geração 270/300	Score atual: 3713	Score Médio: 3024
Geração 271/300	Score atual: 3713	Score Médio: 2979
Geração 272/300	Score atual: 3713	Score Médio: 3081
Geração 273/300	Score atual: 3714	Score Médio: 3103
Geração 274/300	Score atual: 3748	Score Médio: 3154
Geração 275/300	Score atual: 3748	Score Médio: 3150
Geração 276/300	Score atual: 3777	Score Médio: 3159
Geração 277/300	Score atual: 3777	Score Médio: 3247
Geração 278/300	Score atual: 3777	Score Médio: 3300
Geração 279/300	Score atual: 3777	Score Médio: 3351
Geração 280/300	Score atual: 3821	Score Médio: 3384
Geração 281/300	Score atual: 3821	Score Médio: 3406
Geração 282/300	Score atual: 3886	Score Médio: 3401
Geração 283/300	Score atual: 3886	Score Médio: 3373
Geração 284/300	Score atual: 3886	Score Médio: 3366
Geração 285/300	Score atual: 3893	Score Médio: 3411
Geração 286/300	Score atual: 3893	Score Médio: 3401
Geração 287/300	Score atual: 3967	Score Médio: 3410
Geração 288/300	Score atual: 4018	Score Médio: 3385
Geração 289/300	Score atual: 4018	Score Médio: 3395
Geração 290/300	Score atual: 4018	Score Médio: 3404
Geração 291/300	Score atual: 4018	Score Médio: 3469
Geração 292/300	Score atual: 4043	Score Médio: 3472
Geração 293/300	Score atual: 4043	Score Médio: 3467
Geração 294/300	Score atual: 4043	Score Médio: 3498
Geração 295/300	Score atual: 4043	Score Médio: 3482
Geração 296/300	Score atual: 4043	Score Médio: 3455
Geração 297/300	Score atual: 4064	Score Médio: 3486
Geração 298/300	Score atual: 4064	Score Médio: 3505
Geração 299/300	Score atual: 4064	Score Médio: 3523
Geração 300/300	Score atual: 4064	Score Médio: 3544


Rede final...
Hidden Layer 1 neuronio(s)
-5  
-5  
Output melhor indivíduo:
-15  
-30  
-55  
-65  
