Data,Fechamento
30 de jul. de 2020,"105.008,70"
29 de jul. de 2020,"105.605,00"
28 de jul. de 2020,"104.109,00"
27 de jul. de 2020,"104.477,00"
24 de jul. de 2020,"102.382,00"
23 de jul. de 2020,"102.293,00"
22 de jul. de 2020,"104.290,00"
21 de jul. de 2020,"104.310,00"
20 de jul. de 2020,"104.426,00"
17 de jul. de 2020,"102.888,00"
16 de jul. de 2020,"100.553,00"
15 de jul. de 2020,"101.791,00"
14 de jul. de 2020,"100.440,00"
13 de jul. de 2020,"98.697,00"
10 de jul. de 2020,"100.032,00"
09 de jul. de 2020,"99.160,00"
08 de jul. de 2020,"99.770,00"
07 de jul. de 2020,"97.761,00"
06 de jul. de 2020,"98.937,00"
03 de jul. de 2020,"96.765,00"
02 de jul. de 2020,"96.235,00"
01 de jul. de 2020,"96.203,00"
