Ano,Mês,Valor(°C)
2000,Jan,"26,66"
2000,Fev,"26,03"
2000,Mar,"25,67"
2000,Abr,"24,99"
2000,Mai,"23,05"
2000,Jun,"22,12"
2000,Jul,"18,88"
2000,Ago,"18,36"
2000,Set,"20,36"
2000,Out,"23,62"
2000,Nov,"24,85"
2000,Dez,"26,44"
2001,Jan,"28,13"
2001,Fev,"28,99"
2001,Mar,"27,63"
2001,Abr,"26,4"
2001,Mai,"22,28"
2001,Jun,"21,96"
2001,Jul,"20,73"
2001,Ago,"21,83"
2001,Set,"21,71"
2001,Out,"22,97"
2001,Nov,"24,64"
2001,Dez,"26,06"
2002,Jan,"27,46"
2002,Fev,"26,62"
2002,Mar,"28,74"
2002,Abr,27
2002,Mai,"24,17"
2002,Jun,"22,87"
2002,Jul,"19,86"
2002,Ago,"22,39"
2002,Set,"21,07"
2002,Out,"25,34"
2002,Nov,"25,47"
2002,Dez,"27,08"
2003,Jan,"26,98"
2003,Fev,"29,41"
2003,Mar,"27,02"
2003,Abr,"25,23"
2003,Mai,"23,18"
2003,Jun,"22,51"
2003,Jul,"21,11"
2003,Ago,"19,84"
2003,Set,"21,55"
2003,Out,"23,55"
2003,Nov,"25,52"
2003,Dez,"26,9"
2004,Jan,"25,74"
2004,Fev,"26,17"
2004,Mar,"26,15"
2004,Abr,"26,28"
2004,Mai,"21,98"
2004,Jun,"20,99"
2004,Jul,"20,62"
2004,Ago,"20,74"
2004,Set,"23,1"
2004,Out,"22,76"
2004,Nov,"24,19"
2004,Dez,"25,1"
2005,Jan,"25,92"
2005,Fev,"25,32"
2005,Mar,"26,18"
2005,Abr,"26,3"
2005,Mai,"23,82"
2005,Jun,"23,32"
2005,Jul,"21,27"
2005,Ago,"23,66"
2005,Set,"21,33"
2005,Out,"22,93"
2005,Nov,"24,46"
2005,Dez,"25,36"
2006,Jan,"27,32"
2006,Fev,"26,85"
2006,Mar,"27,04"
2006,Abr,"23,91"
2006,Mai,"20,86"
2006,Jun,"21,01"
2006,Jul,"21,22"
2006,Ago,"21,49"
2006,Set,"21,13"
2006,Out,"21,81"
2006,Nov,"23,16"
2006,Dez,"24,93"
2007,Jan,"24,6"
2007,Fev,"25,23"
2007,Mar,"28,08"
2007,Abr,"26,19"
2007,Mai,"22,64"
2007,Jun,"21,41"
2007,Jul,17
2007,Ago,"17,2"
2007,Set,"19,32"
2007,Out,"21,48"
2007,Nov,"23,36"
2007,Dez,"26,13"
2008,Jan,"26,24"
2008,Fev,"26,37"
2008,Mar,"26,18"
2008,Abr,"24,63"
2008,Mai,"22,32"
2008,Jun,"21,07"
2008,Jul,"21,64"
2008,Ago,"22,39"
2008,Set,"21,9"
2008,Out,"23,82"
2008,Nov,"24,56"
2008,Dez,"24,84"
2009,Jan,"26,78"
2009,Fev,"27,08"
2009,Mar,"26,82"
2009,Abr,"24,66"
2009,Mai,"23,39"
2009,Jun,"19,68"
2009,Jul,"19,34"
2009,Ago,"20,99"
2009,Set,"20,46"
2009,Out,"22,08"
2009,Nov,"27,22"
2009,Dez,"26,23"
2010,Jan,"26,77"
2010,Fev,"29,55"
2010,Mar,"26,31"
2010,Abr,"23,74"
2010,Mai,"22,17"
2010,Jun,"20,36"
2010,Jul,"21,07"
2010,Ago,"19,48"
2010,Set,"20,81"
2010,Out,"20,91"
2010,Nov,"23,03"
2010,Dez,"25,74"
2011,Jan,"27,84"
2011,Fev,"27,54"
2011,Mar,"24,44"
2011,Abr,"24,12"
2011,Mai,"21,04"
2011,Jun,"19,08"
2011,Jul,"19,12"
2011,Ago,"19,58"
2011,Set,"19,04"
2011,Out,"22,1"
2011,Nov,"22,45"
2011,Dez,"24,83"
2012,Jan,"24,9"
2012,Fev,"27,29"
2012,Mar,"25,51"
2012,Abr,"24,31"
2012,Mai,"21,67"
2012,Jun,"20,66"
2012,Jul,"20,13"
2012,Ago,"21,04"
2012,Set,"21,69"
2012,Out,"23,13"
2012,Nov,"23,37"
2012,Dez,"27,27"
2013,Jan,"25,01"
2013,Fev,"26,8"
2013,Mar,"25,26"
2013,Abr,"23,49"
2013,Mai,"22,14"
2013,Jun,"20,9"
2013,Jul,"18,69"
2013,Ago,"19,22"
2013,Set,"20,98"
2013,Out,"22,09"
2013,Nov,"24,09"
2013,Dez,"25,97"
2014,Jan,"28,47"
2014,Fev,"27,72"
2014,Mar,"26,2"
2014,Abr,"23,91"
2014,Mai,"22,04"
2014,Jun,"21,13"
2014,Jul,"19,97"
2014,Ago,"20,71"
2014,Set,"22,08"
2014,Out,"23,04"
2014,Nov,"24,3"
2014,Dez,"26,35"
2015,Jan,"28,81"
2015,Fev,"27,03"
2015,Mar,"25,62"
2015,Abr,"24,01"
2015,Mai,"23,09"
2015,Jun,"21,59"
2015,Jul,"20,9"
2015,Ago,"22,12"
2015,Set,"22,27"
2015,Out,"22,87"
2015,Nov,"24,14"
2015,Dez,"26,86"
2016,Jan,"25,96"
2016,Fev,"27,82"
2016,Mar,"26,61"
2016,Abr,"27,3"
2016,Mai,"21,73"
2016,Jun,"17,07"
2016,Jul,"19,34"
2016,Ago,"19,94"
2016,Set,"21,15"
2016,Out,"22,54"
2016,Nov,"23,5"
2016,Dez,"26,31"
2017,Jan,"27,15"
2017,Fev,"27,43"
2017,Mar,"25,93"
2017,Abr,"23,84"
2017,Mai,"22,33"
2017,Jun,"21,22"
2017,Jul,"19,97"
2017,Ago,"20,43"
2017,Set,"22,61"
2017,Out,"23,95"
2017,Nov,"23,61"
2017,Dez,"25,41"
2018,Jan,"26,9"
2018,Fev,"25,54"
2018,Mar,"27,02"
2018,Abr,"24,7"
2018,Mai,"22,64"
2018,Jun,"20,46"
2018,Jul,"19,71"
2018,Ago,"18,4"
2018,Set,"21,27"
2018,Out,"22,04"
2018,Nov,"23,07"
2018,Dez,"25,79"
2019,Jan,"28,52"
2019,Fev,"25,75"
2019,Mar,"26,23"
2019,Abr,"25,03"
2019,Mai,"23,32"
2019,Jun,"22,82"
2019,Jul,"21,1"
2019,Ago,"21,2"
2019,Set,"21,54"
2019,Out,"24,61"
2019,Nov,"24,09"
2019,Dez,"25,91"
2020,Jan,"27,22"
